"team","player_name","nfl_team","pos"
"Michael Tyne (@Michaeltyne13) Sydney Swans Live","Jonathan Taylor","IND","RB"
"Michael Tyne (@Michaeltyne13) Sydney Swans Live","Jauan Jennings","SF","WR"
"Front Office Pros - Joe Sheffield (@@Joe_FOP) Colorado Avalanche","Christian McCaffrey","SF","RB"
"Craig Linder (@Linder_lives) Beverly Hills Wildcats (Beverly Hills 90210)","Christian McCaffrey","SF","RB"
"Pro Football Network - Ben Rolfe (@BenRolfePFN) East Dillon Lions (Friday Night Lights)","Jonathan Taylor","IND","RB"
"Marc Maso (@Markin_NFL) FC Barcelona Live","Jonathan Taylor","IND","RB"
"Jim Cox (@tuljhwk) Kansas Jayhawks","Christian McCaffrey","SF","RB"
"Greg Berthiaume (@GREGGELS17) Notre Dame Fighting Irish","Jauan Jennings","SF","WR"
"Greg Berthiaume (@GREGGELS17) Notre Dame Fighting Irish","Jonathan Taylor","IND","RB"
"David Lane (@surrealdavelane) San Diego Wave FC","George Kittle","SF","TE"
"Tim Barichello Ottawa Redblacks","George Kittle","SF","TE"
"Matthew Smith Miami Hurricanes","Jauan Jennings","SF","WR"
"Corey Bowlby (@CorBow533) Pitt Panthers Live","George Kittle","SF","TE"
"Corey Bowlby (@CorBow533) Pitt Panthers Live","Brock Purdy","SF","QB"
"Kyle Shumway (@Ffpadawan ) Utah Jazz","Christian McCaffrey","SF","RB"
"Kyle Shumway (@Ffpadawan ) Utah Jazz","Jonathan Taylor","IND","RB"
"Roman Spitko Calgary Stampeders","Christian McCaffrey","SF","RB"
"Cody Dewrell (@Codydewrell) Arizona Cardinals","Alec Pierce","IND","WR"
"Cody Dewrell (@Codydewrell) Arizona Cardinals","Tyler Warren","IND","TE"
"Troy Barnes (@Troyb_bbb) Tampa Bay Buccaneers Live","Jonathan Taylor","IND","RB"
"Troy Barnes (@Troyb_bbb) Tampa Bay Buccaneers Live","Jauan Jennings","SF","WR"
"Schuyler Malak (@TheFFBuffalo) Virginia Cavaliers","Michael Pittman","IND","WR"
"Schuyler Malak (@TheFFBuffalo) Virginia Cavaliers","Brock Purdy","SF","QB"
"Fantasy Wildcard, Wildcard DFS - Alastair Cook (@@FFDynastyGrill) Chelsea","Jonathan Taylor","IND","RB"
"Legendary Upside - Patrick Kerrane (@PatKerrane) Tottenham Hotspur","Jauan Jennings","SF","WR"
"Legendary Upside - Patrick Kerrane (@PatKerrane) Tottenham Hotspur","Christian McCaffrey","SF","RB"
"Legendary Upside - Patrick Kerrane (@PatKerrane) Tottenham Hotspur","Brock Purdy","SF","QB"
"FantasyPros expert Ranker/Contributor (Adam Dove), The Fantasy Couriers Podcast (www.thefantasycouri - Adam Dove (@CouriersFantasy) Washington Sentinals (Replacements)","Jonathan Taylor","IND","RB"
"FantasyPros expert Ranker/Contributor (Adam Dove), The Fantasy Couriers Podcast (www.thefantasycouri - Adam Dove (@CouriersFantasy) Washington Sentinals (Replacements)","Michael Pittman","IND","WR"
